ax,ay,az
-0.33,-8.48,3.35
-0.89,-8.99,3.93
-1.74,-10.51,4.83
-2.13,-11.58,5.05
-2.24,-13.17,5.27
-2.31,-16.98,5.2
-2.49,-18.39,5.09
-3.12,-19.83,5.08
-4.91,-21.79,4.44
-6.39,-22.75,4.23
-7.86,-23.2,4.15
-9.12,-23.9,3.86
-11.23,-25.46,2.43
-12.85,-25.53,1.72
-14.78,-23.75,1.24
-19.08,-19.81,-0.51
-20.33,-18.42,-1.6
-20.94,-16.89,-3.23
-21.81,-11.75,-6.81
-22.43,-8.93,-8.44
-23.17,-4.91,-10.3
-22.67,-0.83,-12.58
-20.13,5.85,-15.2
-18.6,8.42,-14.38
-18.52,11.01,-12.04
-24,7.64,-3.64
-23.36,7.34,-3.11
-21.47,10.04,-3.23
,,
0.67,-5.09,1.67
0.24,-4.55,2.04
-1.17,-3,3.16
-1.45,-2.84,3.45
-1.45,-2.84,3.45
-1.59,-2.88,3.52
-0.78,-3.76,3.02
-0.47,-4.26,2.7
-0.01,-5.22,2.02
-0.01,-5.22,2.02
0,-5.32,1.88
-0.01,-5.36,1.76
-0.05,-5.51,1.64
-0.06,-5.91,1.61
-0.23,-6.17,1.62
-0.22,-6.81,1.55
0.32,-8.93,1.19
0.64,-10.52,1.09
1.06,-12.68,0.9
1.42,-16.14,0.9
1.44,-17.72,1.11
0.8,-18.88,1.41
-0.07,-19.83,1.59
-2.06,-22.17,2.2
-3.16,-23.3,2.91
-4.37,-24.72,3.86
-7.58,-26.96,5.98
-9.29,-26.74,6.54
-11.27,-27.91,5.49
-15.15,-29.87,-0.21
-16.85,-28.68,-3.25
-17.87,-26.02,-6.35
-18.31,-22.58,-8.37
-22.31,-14,-9.51
-23.2,-10.06,-10.19
-22.73,-6.89,-11.24
-22.65,3.26,-11.97
-22.74,6.9,-11.22
-26.42,9.68,-6.13
-30.8,10.79,0.68
-25.16,15.14,1.73
-23.05,14.41,-0.94
-25.05,10.69,-1.72
-22.11,8.01,0.62
-21.06,7.19,1.91
-20.31,6.76,2.63
-18.14,7.14,2.98
-17.01,7.64,2.89
-15.1,7.9,2.72
-11.87,7.67,2.91
,,
0.75,-3.29,1.84
0.44,-3.32,1.77
0.35,-2.98,1.96
0.15,-3.3,1.78
0.13,-3.33,1.83
-0.03,-3.54,1.74
0.24,-4.21,1.37
0.23,-4.55,1.32
0.27,-4.69,1.19
0.19,-5.26,1
0.26,-5.63,0.84
0.03,-6.07,0.63
0.09,-6.63,0.5
0.26,-7.57,0.29
0.26,-7.78,0.33
0.36,-8.04,0.48
0.31,-9.01,0.8
0.34,-10.2,0.97
0.58,-11.99,1.02
1.49,-17.4,1.01
1.65,-19.96,0.99
1.41,-22.76,0.98
0.75,-25.98,1.45
-1.01,-33.13,1.68
-2.8,-34.84,1.3
-4.94,-35.58,0.99
-10.7,-38.1,-1.44
-14.08,-39.54,-3.47
-17.46,-39.33,-5.21
-23.96,-35.95,-9.73
-25.73,-31.85,-11.93
-28.45,-26.84,-13.78
-30.49,-20.87,-14.78
-30.72,-10.58,-14.91
-30.83,-5.38,-15.59
-30.01,0.22,-16.31
-26.97,5.98,-12.62
-28.4,7.53,-8.73
-32.27,9.7,-4.56
-31.09,11.04,1.79
-26.84,14.73,2.68
-26.76,14.86,0.73
-24.26,13.58,0.9
-18.87,10.15,1.36
-17.35,8.12,1.55
-17.36,6.98,1.73
-17.29,6.73,2.42
-16.65,7.35,2.82
-16.31,8.29,3.44
-12.59,7.98,3.92
,,
0.88,-4.83,0.34
0.83,-5.06,0.22
0.83,-5.06,0.22
1.13,-4.75,0.29
0.77,-4.15,0.4
0.4,-4.06,0.47
0.53,-4.11,0.67
0.53,-4.11,0.67
0.55,-4.43,0.77
0.74,-5.01,0.48
0.83,-5.15,0.5
0.81,-5.38,0.54
0.81,-5.38,0.54
1.16,-6.25,0.2
1.24,-6.84,0.02
1.28,-7.12,-0.25
1.62,-7.69,-0.47
1.62,-7.69,-0.47
2.2,-8.98,-0.77
4.75,-17.44,-3.15
4.87,-20.02,-3.79
4.4,-21.79,-4.54
4.4,-21.79,-4.54
1.61,-24.08,-5.94
-0.67,-29.6,-7.04
-2.31,-33.42,-7.94
-3.97,-34.59,-7.94
-3.97,-34.59,-7.94
-6.09,-33.78,-7.35
-12.83,-27.88,-6.58
-14.26,-27.79,-6.67
-14.76,-28.06,-6.26
-14.76,-28.06,-6.26
-18.13,-28.37,-9.34
-21.93,-22.46,-12.83
-27.13,-12.06,-14.81
-27.75,-7.08,-15.87
-27.75,-7.08,-15.87
-27.8,-2.21,-16.52
-32.3,16.83,-14.26
-33.64,21.19,-6.53
-33.38,22.33,2.57
-33.38,22.33,2.57
-32.85,19.04,5.66
-21.29,19.23,-0.68
-22.04,10.75,-1.05
-21.17,9.89,0.61
-21.17,9.89,0.61
-19.3,9.91,1.91
-14.25,6.19,2.34
,,
1.41,-5.58,0.54
1.36,-5.49,0.58
1.42,-5.53,0.49
1.25,-5.54,0.5
0.94,-5.56,0.44
0.72,-5.41,0.54
0.96,-5.58,0.46
0.75,-6.13,0.23
0.86,-6.43,0.25
0.83,-6.67,0.04
0.82,-6.8,-0.02
0.73,-6.81,-0.02
0.64,-7.24,-0.11
0.59,-7.48,-0.11
0.62,-7.76,-0.23
